,case_id,activity,participant,cpoint,length
0,5,"[90, 82, 183, 82, 82, 82, 82, 82, 183, 77, 75, 748, 796, 729, 729, 677, 722, 673, 673, 672, 722, 722, 722, 722, 722, 796, 722, 722, 722, 722, 722, 673, 722, 689, 722, 748, 747, 876, 854, 818, 818, 854, 874, 882, 874, 592, 571, 571, 571, 571, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 588, 440, 412, 412, 359, 412, 363, 258, 258, 257, 203, 258, 258, 203, 203, 203, 205, 203, 287, 287, 287, 287, 264, 258, 255, 351, 287, 287, 287, 287, 287, 351, 200, 198, 198, 258, 246, 258, 214, 258, 258, 210, 209, 258, 258, 258, 258, 258, 203, 203, 203, 255, 258, 255, 258, 258, 258, 258, 254, 287, 287, 287, 287, 258, 212, 212, 220, 258, 258, 214, 224, 202, 209, 278, 277, 277, 258, 225, 287, 73, 50, 5, 50, 50, 10, 50, 50, 50, 50, 50, 82, 75, 76, 433, 377, 412, 360, 412, 412, 412, 412, 375, 434, 594, 591, 564, 571, 571, 571, 571, 524, 524, 512, 571, 682, 722, 722, 722, 691, 722, 673, 673, 670, 670, 722, 722, 722, 722, 722, 722, 722, 722, 693, 722, 722, 722, 722, 670, 670, 670, 670, 670, 722, 670, 670, 683, 722, 722, 722, 720, 720, 722, 722, 722, 693, 675, 722, 722, 722, 748, 785, 738, 748, 742, 670, 571, 571, 569, 570, 571, 571, 571, 571, 537, 598, 570, 571, 571, 571, 571, 571, 671, 722, 722, 722, 722, 796, 748, 748, 722, 670, 722, 722, 722, 739, 748, 748, 722, 672, 722, 722, 722, 670, 670, 670, 670, 722, 722, 722, 722, 722, 748, 748, 670, 670, 722, 670, 722, 796, 796, 669, 722, 722, 670, 670, 670, 673, 722, 748, 722, 672, 748, 748, 675, 722, 748, 748, 748, 748, 748, 748, 748, 722, 722, 711, 722, 740, 669, 669, 715, 722, 722, 748, 748, 748, 748, 748, 748, 748, 748, 729, 748, 748, 748, 748, 748, 796, 687, 722, 722, 748]",KP1-no,186,335
1,9,"[82, 82, 82, 110, 82, 179, 82, 82, 82, 82, 82, 82, 179, 82, 82, 82, 82, 82, 82, 258, 258, 202, 258, 202, 348, 287, 348, 287, 287, 198, 198, 203, 198, 198, 202, 258, 200, 200, 256, 200, 258, 287, 50, 5, 50, 82, 82, 82, 82, 179, 82, 82, 149, 88, 88]",KP1-no,43,55
2,18,"[89, 50, 56, 181, 181, 181, 181, 181, 181, 181, 181, 56, 181, 181, 82, 82, 181, 82, 181, 181, 181, 82, 82, 82, 82, 82, 181, 50, 6, 181, 181, 82, 181, 82, 82, 82, 82, 82, 82, 82, 181, 181, 82, 82, 82, 181, 181, 33, 3, 4, 48, 76, 77, 76, 76, 75, 79, 78, 79, 79, 77, 76, 82, 82, 72, 74, 73, 82, 159, 76, 76, 73, 82, 209, 198, 203, 200, 258, 199, 201, 349, 287, 349, 349, 349, 287, 349, 287, 287, 349, 349, 349, 278, 280, 282, 262, 349, 349, 198, 202, 202, 203, 202, 254, 200, 201, 201, 201, 201, 200, 408, 359, 361, 361, 360, 366, 362, 437, 435, 593, 511, 511, 510, 510, 508, 571, 507, 507, 512, 595, 594, 594, 594, 595, 595, 594, 571, 571, 538, 722, 722, 683, 674, 670, 669, 669, 671, 671, 672, 672, 741, 741, 740, 727, 757, 794, 758, 746, 746, 1016, 983, 958, 983, 951, 967, 983, 961, 1046, 1046, 1046, 1004, 1004, 1046, 1046, 1046, 955, 957, 994, 1003, 1003, 994, 994, 1003, 1110, 1109, 1107, 1110, 1124, 1056, 1061, 1075, 1074, 1074, 1075, 1073, 1072, 1073, 1074, 1075, 6, 3, 3, 4, 0, 0, 34, 35, 2, 2, 5, 5, 6, 6, 6, 181, 181, 181, 82, 82, 181, 82, 181, 5, 1, 3, 4, 4, 0, 0, 15, 16, 2, 6, 48, 5, 5, 6, 25, 26, 5, 5, 5, 11, 12, 12, 1, 34, 35, 35, 50, 2, 15, 34, 35, 15, 15, 5, 6, 6, 17, 18, 3, 3, 4, 4, 0, 0, 31, 1, 73, 75, 75, 75, 5, 1, 1, 6, 5, 50, 2, 2, 76, 75, 77, 82, 2, 258, 202, 198, 203, 198, 200, 201, 199, 279, 281, 281, 282, 282, 283, 283, 437, 437, 360, 362, 366, 364, 359, 359, 365, 365, 363, 361, 361, 412, 366, 440, 440, 440, 440, 497, 434, 434, 435, 434, 440, 440, 488, 488, 486, 434, 434, 366, 440, 412, 366, 433, 435, 568, 567, 511, 511, 510, 571, 512, 509, 513, 513, 507, 507, 544, 547, 547, 592, 594, 595, 744, 674, 674, 669, 669, 671, 673, 673, 672, 672, 744, 745, 879, 802, 802, 802, 803, 803, 803, 815, 829, 803, 828, 815, 876, 876, 874, 882, 873, 874, 872, 873, 930, 814, 35, 2, 2, 114, 82, 82, 82, 82, 50, 6, 6, 5, 16, 1, 50, 12, 1, 6, 3, 26, 19, 5, 6, 6, 6, 6, 6, 6, 35, 35, 5, 5, 6, 6, 1, 12, 12, 3, 3, 0, 0, 50, 14, 26, 77, 78, 79, 79, 79, 79, 50, 854, 802, 802, 803, 803, 815, 813, 803, 803, 803, 827, 828, 819, 827, 828, 802, 802, 802, 805, 805, 805, 803, 803, 803, 815, 882, 898, 897, 803, 803, 805, 807, 804, 804, 854, 810, 805, 805, 805, 805, 801, 801, 814, 814, 815, 803, 803, 803, 803, 875, 874, 874, 872, 872, 854, 805, 806, 801, 804, 804, 804, 854, 803, 803, 807, 854, 854, 823, 820, 804, 804, 803, 803, 814, 815, 803, 803, 814, 812, 819, 805, 803, 874, 50, 2, 2, 6, 6, 6, 6, 48, 5, 50, 3, 50, 11, 1, 12, 12, 50, 43, 34, 35, 16, 5, 49, 3, 6, 1, 12, 24, 1, 1, 23, 23, 24, 1, 6, 11, 23, 23, 2, 35, 38, 1, 6, 50, 23, 24, 3, 3, 50, 1, 181, 181, 114, 6, 6, 6, 75, 82, 72, 6, 78, 79, 79, 79, 802, 848, 802, 813, 815, 803, 803, 803, 803, 803, 873, 875, 874, 874, 50, 2, 23, 24, 12, 1, 1, 12, 12, 9, 1, 181, 114, 56, 115, 6, 181, 56, 56, 181, 82, 181, 113, 150, 150]",KP10-no,372,627
3,19,"[93, 50, 183, 59, 183, 183, 183, 183, 183, 183, 183, 121, 121, 121, 183, 183, 183, 183, 59, 59, 76, 77, 78, 80, 81, 78, 78, 78, 78, 744, 744, 674, 674, 669, 669, 673, 671, 671, 672, 672, 670, 670, 796, 796, 729, 796, 729, 796, 762, 796, 796, 796, 796, 796, 744, 745, 745, 745, 743, 744, 743, 742, 742, 741, 741, 198, 203, 200, 199, 203, 203, 203, 214, 287, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 203, 200, 200, 198, 238, 198, 202, 200, 199, 199, 203, 282, 283, 283, 264, 351, 351, 351, 351, 264, 203, 203, 203, 254, 242, 254, 255, 253, 308, 264, 351, 308, 307, 309, 280, 281, 351, 351, 351, 351, 351, 281, 283, 283, 283, 744, 744, 743, 744, 722, 670, 688, 722, 721, 719, 722, 722, 670, 688, 688, 670, 670, 796, 796, 729, 796, 796, 722, 670, 674, 670, 687, 740, 742, 744, 743, 742, 741, 741, 687, 670, 258, 224, 202, 198, 203, 203, 198, 227, 214, 279, 280, 280, 226, 227, 255, 255, 214, 226, 220, 220, 214, 210, 218, 203, 203, 205, 258, 337, 226, 227, 282, 283, 283, 722, 722, 688, 684, 674, 670, 687, 741, 742, 742, 743, 743, 742, 742, 670, 722, 673, 670, 670, 688, 722, 748, 782, 741, 742, 742, 742, 742, 741, 742, 743, 742, 742, 742, 741, 742, 742, 198, 198, 203, 205, 214, 214, 258, 227, 227, 215, 203, 203, 203, 258, 203, 214, 214, 283, 285, 283, 283, 669, 672, 681, 681, 722, 670, 687, 741, 742, 743, 742, 742, 742, 743, 741, 742, 743, 742, 742, 198, 198, 291, 264, 307, 287, 264, 264, 351, 351, 351, 309, 264, 351, 351, 351, 351, 351, 351, 351, 351, 351, 291, 258, 198, 198, 203, 351, 264, 351, 287, 351, 351, 258, 200, 203, 329, 307, 309, 309]",KP10-no,66,318
4,23,"[88, 110, 179, 179, 179, 179, 179, 179, 112, 75, 76, 76, 74, 75, 74, 73, 77, 77, 78, 77, 76, 76, 55, 179, 82, 179, 179, 179, 179, 179, 82, 179, 179, 179, 179, 179, 179, 179, 77, 78, 78, 939, 813, 805, 806, 801, 807, 939, 939, 939, 939, 939, 939, 939, 939, 939, 840, 807, 878, 878, 877, 875, 875, 875, 6, 6, 3, 3, 1, 179, 55, 179, 179, 41, 3, 4, 0, 0, 48, 2, 73, 76, 76, 76, 75, 282, 198, 198, 203, 202, 240, 258, 199, 201, 282, 283, 284, 282, 281, 284, 258, 849, 802, 802, 805, 806, 801, 807, 803, 803, 878, 879, 803, 670, 673, 673, 671, 671, 672, 669, 669, 669, 674, 743, 744, 593, 593, 571, 551, 510, 509, 511, 511, 508, 512, 512, 507, 513, 650, 657, 657, 657, 598, 657, 657, 657, 657, 657, 657, 657, 657, 657, 592, 593, 592, 592, 434, 409, 362, 366, 364, 359, 365, 365, 363, 361, 361, 432, 433, 258, 203, 198, 202, 199, 199, 258, 201, 200, 278, 279, 253, 50, 6, 3, 3, 5, 5, 5, 5, 179, 179, 179, 50, 2, 5, 41, 3, 4, 0, 1, 6, 5, 55, 82, 82, 82, 179, 82, 82, 82, 82, 5, 5, 2, 15, 16, 5, 179, 179, 179, 179, 110, 179, 179, 179, 75, 76, 75, 76, 75, 75, 50, 167, 171, 82, 168, 73, 73, 82, 82, 82, 82, 82, 82, 82, 82, 258, 202, 202, 225, 336, 277, 336, 258, 50, 15, 15, 16, 5, 5, 6, 3, 3, 50, 25, 17, 19, 27, 13, 50, 0, 0, 0, 0, 50, 2, 15, 35, 35, 2, 2, 179, 82, 82, 179, 179, 179, 179, 6, 5, 82, 179, 179, 179, 82, 82, 82, 82, 82, 82, 179, 179, 179, 179, 82, 179, 179, 5, 2, 16, 2, 35, 35, 35, 74, 76, 75, 75, 82, 159, 166, 166, 166, 167, 287, 258, 202, 202, 224, 225, 211, 211, 258, 226, 258, 216, 212, 216, 201, 199, 258, 229, 229, 258, 258, 200, 229, 229, 250, 258, 221, 333, 336, 336, 258, 198, 198, 50, 82, 179, 179, 179, 179, 179, 179, 179, 179, 50, 2, 15, 15, 0, 0, 50, 22, 82, 167, 82, 82, 258, 202, 225, 224, 202, 202, 202, 224, 202, 202, 224, 225, 287, 348, 298, 298, 348, 348, 348, 348, 258, 258, 202, 225, 224, 287, 348, 287, 348, 348, 348, 348, 348, 348, 348, 348, 348, 287, 348, 348, 204, 202, 202, 198, 258, 258, 224, 287, 336, 277, 204, 224, 167, 50, 15, 15, 2, 6, 6, 35, 50, 0, 0, 0, 4, 4, 3, 5, 5, 1, 5, 48, 5, 50, 34, 82, 55, 179, 179, 179, 179, 179, 179, 82, 50, 15, 5, 32, 36, 21, 179, 179, 50, 50, 21, 22, 35, 167, 72, 82, 82, 2, 2, 5, 82, 179, 179, 82, 82, 179, 5, 5, 5, 5, 5, 82, 179, 179, 179, 5, 2, 35, 50, 0, 258, 258, 211, 225, 202, 261, 299, 288, 287]",KP10-no,185,512
5,24,"[151, 57, 182, 182, 118, 182, 182, 182, 82, 82, 182, 82, 50, 17, 182, 166, 74, 74, 76, 75, 77, 78, 78, 75, 75, 75, 76, 76, 76, 77, 78, 78, 78, 77, 77, 74, 73, 72, 82, 82, 77, 78, 78, 79, 79, 79, 79, 80, 78, 80, 80, 76, 77, 77, 77, 76, 76, 76, 75, 75, 75, 75, 198, 198, 203, 203, 258, 199, 199, 199, 201, 365, 365, 359, 359, 400, 359, 359, 440, 498, 440, 440, 440, 440, 498, 498, 498, 498, 418, 440, 498, 498, 498, 498, 440, 440, 498, 498, 440, 440, 373, 364, 364, 364, 363, 365, 365, 412, 361, 360, 360, 366, 440, 440, 440, 440, 440, 359, 359, 408, 407, 408, 408, 408, 365, 375, 375, 365, 365, 369, 363, 364, 366, 366, 364, 364, 364, 362, 362, 435, 434, 434, 434, 435, 435, 435, 435, 508, 508, 513, 513, 513, 513, 512, 507, 511, 511, 546, 555, 547, 571, 571, 511, 511, 511, 567, 571, 571, 539, 539, 539, 571, 511, 590, 593, 593, 594, 594, 621, 649, 649, 649, 649, 649, 360, 360, 412, 359, 408, 408, 408, 408, 440, 440, 408, 407, 408, 408, 568, 571, 568, 564, 547, 511, 511, 511, 564, 571, 538, 539, 539, 571, 571, 547, 571, 598, 649, 598, 412, 412, 359, 410, 365, 379, 379, 363, 412, 359, 359, 365, 394, 364, 364, 407, 408, 366, 388, 412, 372, 359, 412, 372, 372, 378, 400, 359, 359, 359, 440, 488, 488, 650, 571, 564, 511, 511, 511, 511, 510, 510, 571, 659, 659, 659, 659, 659, 659, 598, 598, 598, 598, 598, 598, 598, 511, 511, 507, 565, 565, 544, 547, 538, 539, 539, 511, 564, 564, 568, 568, 554, 571, 571, 510, 620, 487, 397, 361, 392, 363, 410, 383, 384, 374, 407, 408, 408, 359, 359, 364, 359, 400, 400, 359, 359, 440, 488, 359, 412, 375, 376, 375, 375, 365, 365, 365, 365, 365, 410, 365, 412, 380, 440, 488, 488, 488, 571, 513, 513, 571, 508, 511, 568, 568, 571, 564, 571, 511, 511, 511, 511, 539, 538, 539, 511, 571, 510, 554, 563, 511, 548, 571, 571, 507, 528, 571, 536, 598, 649, 649, 412, 412, 412, 359, 359, 359, 359, 483, 412, 366, 366, 359, 359, 564, 567, 511, 555, 650, 659, 620, 571, 511, 571, 539, 577, 598, 598, 590, 598, 619, 659, 659, 649, 571, 510, 571, 567, 571, 547, 547, 547, 365, 364, 412, 364, 363, 384, 382, 412, 396, 363, 363, 364, 364, 408, 359, 440, 458, 457, 498, 498, 440, 498, 498, 440, 498, 440, 440, 440, 412, 364, 407, 407, 407, 391, 391, 407, 411, 407, 400, 407, 391, 400, 408, 440, 457, 459, 400, 408, 359, 400, 408, 440, 418, 418, 440, 442, 442]",KP10-no,155,467
6,32,"[82, 56, 181, 82, 82, 82, 82, 82, 82, 82, 82, 79, 79, 80, 80, 82, 82, 882, 882, 854, 803, 802, 805, 806, 801, 807, 804, 859, 859, 859, 859, 882, 859, 882, 882, 859, 882, 882, 940, 854, 859, 859, 859, 882, 882, 807, 808, 804, 807, 807, 801, 854, 801, 854, 854, 854, 803, 803, 854, 854, 859, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 859, 882, 882, 211, 210, 258, 258, 258, 205, 203, 207, 200, 258, 201, 199, 434, 412, 360, 412, 362, 359, 359, 364, 363, 365, 365, 435, 50, 5, 50, 6, 6, 6, 50, 2, 5, 5, 82, 56, 50, 15, 50, 2, 114, 56, 56, 181, 181, 56, 56, 56, 82, 82, 82, 56, 56, 6, 50, 2, 161, 82, 82, 6, 6, 56, 56, 82, 82, 82, 82, 82, 50, 6, 2, 5, 50, 1, 50, 11, 82, 82, 82, 171, 82, 82, 82, 56, 82, 82, 840, 852, 804, 804, 807, 806, 854, 801, 807, 809, 854, 854, 810, 854, 854, 882, 882, 854, 854, 854, 820, 821, 821, 823, 854, 821, 820, 854, 814, 854, 821, 854, 806, 819, 854, 50, 50, 50, 21, 181, 115, 181, 50, 49, 40, 0, 23, 23, 72, 80, 80, 82, 1110, 1110, 1106, 1104, 82, 5, 50, 20, 50, 14, 50, 50, 50, 82, 56, 115, 181, 82, 82]",KP11-no,108,238
7,33,"[82, 120, 82, 183, 82, 183, 183, 183, 183, 183, 183, 183, 82, 82, 183, 120, 59, 59, 121, 183, 183, 183, 82, 183, 82, 183, 183, 183, 78, 78, 78, 77, 76, 79, 76, 59, 82, 761, 748, 683, 722, 670, 674, 748, 748, 796, 670, 670, 748, 796, 748, 796, 748, 748, 729, 670, 722, 722, 744, 745, 745, 722, 1067, 1060, 1058, 1059, 1067, 1067, 1067, 1067, 1074, 1102, 1082, 1082, 1082, 1082, 1082, 1082, 1082, 1082, 1075, 1079, 1078, 1077, 1097, 1097, 720, 669, 671, 748, 748, 673, 673, 674, 674, 672, 672, 741, 742, 742, 740, 258, 198, 203, 258, 203, 203, 308, 351, 203, 264, 264, 351, 351, 287, 287, 287, 264, 264, 309, 264, 203, 287, 264, 258, 205, 258, 258, 258, 308, 264, 264, 307, 287, 287, 287, 340, 258, 227, 688, 688, 684, 748, 788, 748, 722, 684, 722, 682, 748, 762, 729]",KP11-no,103,152
8,37,"[82, 82, 50, 55, 179, 82, 82, 179, 82, 82, 82, 82, 179, 82, 82, 82, 82, 82, 179, 82, 179, 82, 179, 179, 179, 55, 55, 82, 55, 179, 55, 82, 50, 0, 4, 82, 82, 82, 6, 50, 6, 5, 1, 1, 6, 1, 2, 81, 79, 79, 78, 78, 78, 832, 854, 805, 805, 802, 802, 803, 806, 806, 801, 807, 807, 858, 939, 858, 858, 858, 804, 804, 801, 801, 806, 805, 802, 802, 803, 876, 876, 876, 876, 876, 882, 882, 882, 882, 882, 882, 874, 875, 874, 874, 874, 875, 875, 874, 433, 432, 372, 431, 430, 432, 366, 366, 366, 360, 360, 361, 362, 412, 366, 416, 416, 440, 394, 364, 363, 365, 365, 359, 365, 359, 361, 361, 360, 366, 435, 434, 440, 455, 433, 432, 433, 281, 238, 202, 258, 202, 202, 200, 201, 201, 202, 261, 261, 348, 287, 287, 348, 261, 261, 287, 287, 198, 198, 203, 207, 201, 199, 199, 199, 200, 203, 198, 202, 225, 287, 288, 287, 287, 287, 224, 258, 202, 348, 287, 348, 261, 299, 287, 287, 287, 258, 202, 261, 348, 261, 261, 261, 287, 287, 287, 287, 256, 246, 201, 200, 200, 203, 199, 199, 201, 258, 258, 287, 287, 341, 341, 854, 802, 854, 853, 806, 809, 807, 807, 804, 882, 930, 412, 366, 360, 362, 361, 364, 359, 365, 365, 363, 416, 440, 432, 74, 5, 5, 2, 5, 5, 5, 2, 15, 16, 50, 15, 16, 5, 5, 37, 25, 26, 21, 21, 50, 82, 82, 82, 82, 82, 55, 167, 82, 55, 55, 82, 82, 179, 287, 202, 225, 258, 336, 277, 50, 50, 22, 22, 22, 21, 0, 13, 82, 179, 82, 55, 55, 82, 258, 258, 258, 287, 202, 225, 261, 300, 261, 261, 348, 300, 348, 258, 348, 287, 287, 287, 287, 216, 216, 348, 287, 348, 287, 217, 258, 224, 225, 258, 202, 287, 287, 287, 288, 287, 287, 258, 258]",KP11-no,137,327
9,38,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 182, 82, 82, 57, 57, 182, 57, 57, 82, 82, 82, 4, 0, 0, 4, 3, 1, 1, 6, 5, 2, 57, 57, 182, 4, 4, 0, 0, 3, 1, 1, 50, 5, 50, 6, 50, 1, 50, 57, 57, 57, 182, 57, 82, 82, 82, 73, 74, 73, 73, 360, 360, 362, 359, 359, 365, 359, 440, 440, 498, 418, 498, 359, 440, 498, 418, 498, 364, 412, 365, 412, 412, 377, 362, 418, 418, 418, 418, 418, 418, 434, 435, 435, 598, 571, 538, 538, 571, 571, 518, 577, 598, 577, 577, 577, 511, 539, 571, 539, 598, 577, 539, 538, 619, 598, 598, 571, 571, 571, 524, 508, 571, 598, 412, 412, 377, 372, 362, 359, 440, 458, 498, 458, 440, 440, 359, 412, 359, 359, 488, 458, 440, 458, 440, 440, 440, 418, 442, 442, 359, 412]",KP11-no,111,157
