,case_id,activity,participant,cpoint,length
0,0,"[82, 82, 82, 82, 82, 177, 82, 82, 82, 82, 82, 82, 177, 82, 177, 82, 82, 82, 82, 177, 177, 177, 177, 177, 177, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 52, 82, 50, 50, 50, 79, 81, 79, 72, 77, 74, 76, 279, 279, 361, 412, 412, 364, 409, 366, 433, 198, 198, 203, 203, 201, 201, 258, 258, 258, 258, 258, 200, 280, 280, 435, 436, 440, 360, 360, 366, 366, 366, 366, 366, 362, 362, 412, 569, 513, 513, 507, 511, 511, 511, 511, 571, 510, 510, 571, 515, 509, 509, 512, 512, 555, 546, 592, 598, 742, 722, 674, 670, 670, 670, 670, 670, 670, 669, 669, 672, 672, 722, 744, 742, 745, 854, 802, 806, 806, 854, 841, 841, 854, 856, 937, 882, 882, 882, 1004, 1000, 952, 983, 983, 983, 982, 983, 966, 1067, 1067, 1067, 1072, 1125, 1110, 1079, 1004, 1001, 967, 966, 960, 980, 854, 854, 854, 823, 807, 807, 807, 804, 854, 854, 802, 802, 854, 803, 803, 803, 803, 882, 879, 880, 879, 878, 878, 879, 877, 879, 875, 874, 882, 873, 872, 876, 740, 738, 722, 715, 722, 674, 669, 748, 748, 748, 748, 722, 671, 671, 722, 673, 722, 672, 672, 672, 670, 674, 670, 744, 744, 508, 524, 571, 561, 571, 571, 571, 513, 513, 595, 594, 611, 656, 656, 613, 656, 598, 598, 598, 573, 598, 656, 598, 512, 512, 512, 512, 512, 569, 569, 573, 573, 600, 600, 571, 507, 569, 560, 571, 571, 517, 527, 513, 656, 598, 613, 598, 512, 512, 559, 559, 570, 570, 571, 571, 571, 571, 570, 600, 569, 571, 512, 571, 513, 571, 513, 513, 513, 571, 600, 600]",KP1-no,101,287
1,6,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 175, 175, 51, 51, 51, 82, 82, 82, 175, 175, 82, 82, 82, 175, 82, 82, 82, 82, 175, 175, 82, 82, 50, 50, 50, 5, 50, 50, 50, 75, 82, 73, 75, 76, 73, 159, 82, 82, 82, 73, 82, 82, 73, 82, 82, 82, 82, 73, 73, 82, 74, 722, 691, 691, 673, 722, 689, 693, 693, 807, 801, 806, 806, 854, 854, 854, 854, 854, 816, 854, 804, 854, 876, 876, 591, 571, 571, 509, 515, 513, 571, 571, 571, 571, 571, 596, 598, 1124, 1067, 983, 966, 967, 998, 571, 549, 571, 571, 571, 571, 412, 412, 412, 360, 412, 412, 412, 412, 412, 440, 488, 476, 360, 412, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 440, 493, 493, 493, 440, 440, 493, 440, 440, 409, 412, 412, 412, 412, 360, 361, 361, 412, 361, 440, 440, 412, 412, 412, 440, 440, 493, 493, 360, 412, 412, 412, 412, 360, 360]",KP1-no,153,173
2,14,"[52, 104, 177, 82, 82, 177, 104, 104, 104, 106, 177, 82, 82, 82, 82, 177, 177, 177, 177, 177, 177, 75, 76, 74, 76, 77, 77, 78, 79, 74, 72, 82, 73, 73, 74, 82, 177, 177, 177, 177, 177, 177, 177, 74, 76, 75, 76, 77, 77, 77, 74, 74, 75, 76, 76, 412, 394, 363, 363, 365, 365, 435, 435, 436, 435, 593, 573, 571, 513, 656, 656, 656, 656, 656, 656, 656, 507, 507, 513, 512, 512, 512, 512, 656, 656, 656, 573, 571, 509, 510, 508, 513, 513, 571, 569, 569, 558, 570, 570, 570, 571, 558, 512, 513, 513, 513, 513, 656, 656, 573, 656, 656, 656, 656, 507, 513, 571, 569, 569, 569, 569, 638, 573, 611, 613, 656, 656, 656, 656, 656, 656, 571, 512, 530, 531, 527, 513, 513, 600, 600, 611, 611, 613, 613, 598, 650, 611, 612, 656, 613, 600, 600, 513, 513, 571, 571]",KP10-no,79,156
3,20,"[83, 50, 103, 175, 175, 175, 175, 175, 51, 175, 102, 175, 175, 175, 82, 5, 82, 175, 82, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 75, 76, 76, 76, 75, 77, 76, 75, 75, 76, 434, 412, 412, 412, 365, 365, 365, 363, 359, 359, 412, 379, 389, 412, 361, 360, 361, 360, 360, 360, 413, 493, 493, 493, 493, 493, 493, 493, 493, 493, 412, 362, 362, 361, 360, 360, 440, 493, 493, 493, 493, 493, 449, 360, 361, 395, 360, 409, 411, 361, 440, 440, 440, 447, 360, 361, 441, 441, 441, 440, 448, 360, 360, 441, 441, 441, 413, 397, 361, 361, 360, 395, 360, 447]",KP10-no,55,114
4,21,"[53, 53, 178, 108, 82, 178, 82, 178, 178, 53, 178, 178, 53, 178, 178, 178, 82, 178, 73, 82, 78, 79, 178, 108, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 178, 82, 82, 82, 82, 76, 77, 78, 78, 79, 76, 75, 76, 76, 76, 76, 77, 77, 282, 198, 198, 203, 200, 201, 201, 347, 287, 347, 347, 347, 347, 347, 347, 203, 198, 281, 280, 280, 280, 284, 283, 283, 283, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 285, 284, 857, 938, 832, 802, 802, 853, 806, 806, 938, 938, 938, 801, 801, 851, 841, 846, 851, 852, 852, 853, 938, 938, 938, 938, 938, 938, 938, 801, 801, 801, 801, 806, 853, 857, 938, 938, 882, 882, 882, 938, 882, 938, 882, 892, 892, 854, 805, 938, 938, 938, 938, 882, 938, 938, 882, 882, 882, 938, 917, 882, 882, 882, 882, 882, 882, 882, 806, 853, 938, 938, 882, 938, 938, 882, 892, 894, 894, 806, 853, 841, 851, 852, 854, 806, 853, 851, 841, 851, 852, 883, 883, 857, 894]",KP10-no,102,184
5,22,"[82, 82, 195, 195, 67, 195, 145, 195, 195, 195, 195, 67, 195, 143, 67, 67, 195, 195, 195, 5, 5, 195, 195, 67, 195, 195, 195, 195, 195, 82, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 144, 195, 195, 75, 78, 78, 78, 78, 722, 674, 669, 671, 671, 671, 672, 672, 733, 799, 799, 799, 799, 722, 673, 669, 669, 669, 669, 753, 775, 799, 733, 733, 799, 799, 799, 733, 671, 671, 669, 698, 692, 722, 699, 733, 799, 799, 799, 799, 799, 733, 733, 748, 769, 748, 748, 733, 767, 733, 767, 733, 768, 722, 671, 671, 669, 733, 799, 799, 799, 799, 799, 733, 767, 753, 671, 671]",KP10-no,54,119
6,28,"[82, 82, 82, 82, 177, 82, 177, 177, 177, 82, 82, 82, 82, 82, 72, 177, 82, 82, 82, 82, 82, 177, 50, 5, 2, 1, 1, 3, 3, 4, 0, 52, 52, 82, 82, 82, 81, 74, 76, 434, 412, 359, 365, 364, 361, 361, 360, 366, 362, 412, 361, 440, 434, 440, 287, 201, 201, 199, 199, 200, 205, 258, 202, 280, 280, 280, 281, 281, 280, 280, 287, 297, 287, 346, 287, 346, 260, 260, 656, 513, 507, 513, 513, 513, 598, 598, 598, 598, 598, 513, 513, 656, 598, 598, 598, 656, 573, 573, 656, 507, 507, 507, 656, 598, 573, 512, 512, 573, 600, 573, 598, 513, 513, 613, 656, 656, 656, 656, 656, 598, 656, 573, 573, 598, 598, 598, 611]",KP11-no,105,127
7,34,"[51, 102, 175, 82, 82, 82, 175, 175, 175, 82, 82, 82, 82, 175, 175, 175, 175, 175, 175, 175, 82, 175, 175, 175, 175, 175, 82, 51, 82, 82, 82, 175, 175, 175, 50, 5, 5, 82, 175, 175, 82, 175, 5, 5, 1, 6, 2, 2, 3, 3, 4, 0, 0, 74, 75, 78, 79, 102, 175, 82, 82, 175, 82, 82, 82, 175, 74, 76, 74, 75, 75, 75, 77, 78, 80, 81, 80, 79, 78, 78, 78, 78, 77, 77, 77, 76, 75, 76, 75, 76, 76, 76, 76, 74, 74, 73, 75, 75, 51, 175, 82, 51, 82, 82, 50, 5, 50, 1, 3, 3, 4, 0, 75, 74, 74, 73, 73, 73, 166, 73, 75, 75, 74, 75, 76, 77, 75, 75, 82, 82, 655, 655, 556, 571, 655, 572, 598, 598, 599, 598, 509, 510, 511, 571, 515, 571, 513, 512, 571, 571, 546, 655, 598, 598, 571, 571, 590, 590, 589, 588, 647, 589, 589, 598, 598, 655, 598, 598, 591, 590, 590, 590, 591, 590, 210, 258, 202, 202, 198, 287, 258, 203, 200, 201, 199, 280, 280, 287, 287, 287, 345, 287, 345, 281, 281, 281, 280, 280, 280, 564, 511, 510, 509, 515, 513, 512, 571, 507, 507, 655, 595, 594, 593, 593, 594, 593, 594, 594, 594, 593, 722, 722, 674, 670, 722, 673, 672, 743, 743, 743, 743, 854, 802, 803, 806, 806, 801, 801, 807, 854, 805, 878, 878, 879, 878, 880, 880, 880, 879, 879, 878, 879, 877, 880, 880, 880, 876, 875, 875, 875, 928, 928, 882, 882, 882, 936, 874, 51, 101, 82, 82, 82, 82, 175, 5, 5, 1, 6, 50, 6, 6, 1, 3, 3, 50, 4, 40, 169, 82, 82, 571, 511, 508, 509, 509, 510, 513, 513, 507, 507, 512, 609, 598, 337, 211, 258, 202, 203, 203, 258, 200, 258, 201, 199, 340, 287, 287, 259, 259, 341, 278, 278, 280, 282, 282, 282, 284, 279, 278, 345, 287, 287, 345, 345, 287, 287, 345, 345, 287, 287, 287, 345, 345, 287, 284, 284, 345, 345, 287, 345, 345, 345, 345, 287, 345, 258, 345, 345, 282, 281, 280, 279, 279, 279, 287, 339, 287, 258, 258, 200, 201, 201, 201, 201, 201, 201, 199, 200, 200, 203, 341, 341, 287, 287, 785, 785, 722, 680, 674, 670, 669, 669, 669, 669, 671, 671, 671, 671, 790, 790, 748, 748, 790, 790, 722, 671, 671, 671, 671, 723, 748, 790, 790, 790, 790, 748, 790, 681, 681, 672, 673, 673, 790, 790, 673, 743, 746, 784, 785, 786, 786, 882, 854, 854, 854, 805, 801, 807, 804, 854, 854, 802, 803, 873, 874, 875, 875, 880, 879, 880, 878, 878, 878, 958, 958, 983, 1004, 1004, 1004, 1004, 983, 956, 960, 983, 967, 983, 1043, 1043, 1043, 1043, 1043, 983, 950, 1167, 1164, 1164, 1163, 1164, 1165, 1164, 1166, 1165, 1164, 1165, 1164, 1001, 1000, 1060, 1067, 1067, 1059, 1067, 1167, 1167, 1167, 1167, 1004, 966, 966, 955, 960, 980, 956, 963, 953, 958, 959, 983, 1004, 1004, 1004, 1004, 1167, 1185, 1185, 1167, 1185, 933, 933, 933, 839, 807, 807, 807, 801, 801, 806, 854, 822, 804, 849, 805, 802, 802, 803, 932, 882, 936, 855, 855, 936, 882, 882, 669, 669, 722, 671, 671, 671, 673, 674, 670, 748, 782, 782, 681, 672, 672, 198, 198, 202, 198, 202, 202, 203, 200, 201, 201, 201, 201, 201, 258, 199, 234, 287, 339, 287, 591, 564, 563, 511, 508, 509, 510, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 512, 512, 509, 650, 589, 590, 50, 6, 5, 1, 3, 3, 4, 4, 0, 0, 6, 6, 2, 2, 77, 82, 169, 103, 655, 598, 538, 511, 546, 549, 519, 571, 554, 546, 570, 570, 513, 565, 571, 509, 510, 511, 510, 510, 510, 510, 509, 509, 509, 508, 571, 512, 512, 512, 571, 513, 513, 513, 655, 655, 610, 655, 655, 655, 592, 668, 610, 655, 655, 655, 655, 598, 598, 655, 598, 655, 655, 655, 507, 513, 544, 591, 591, 590, 591, 589, 590, 595, 594, 596, 647, 591, 589, 589, 590, 590, 589, 591, 590, 507, 507, 507, 507, 507, 571, 536, 537, 536, 537, 536, 513, 513, 561, 570, 550, 571, 560, 507, 507, 507, 512, 512, 512, 513, 513, 513, 598, 588, 598, 592, 591, 593, 590, 592, 591, 592, 592, 591, 598, 652, 652, 591, 592, 591, 598, 648, 646, 591, 591, 592, 591, 432, 440, 371, 367, 412, 412, 361, 440, 440, 487, 440, 433, 433, 435, 433, 434, 430, 434, 434, 440, 412, 365, 365, 359, 359, 412, 360, 360, 413, 486, 447, 360, 361, 361, 360, 482, 440, 447, 493, 413, 447, 360, 360, 412, 440, 493, 493, 361, 361, 361, 440, 440, 413]",KP11-no,771,798
8,35,"[82, 82, 178, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 50, 3, 3, 4, 3, 3, 3, 4, 4, 0, 38, 1, 6, 5, 2, 53, 82, 178, 82, 82, 82, 82, 82, 82, 53, 53, 82, 82, 82, 82, 5, 82, 82, 82, 82, 3, 3, 53, 53, 178, 178, 53, 53, 53, 53, 50, 0, 4, 1, 1, 6, 5, 50, 76, 78, 79, 79, 79, 80, 79, 79, 854, 854, 803, 882, 882, 882, 882, 853, 805, 802, 803, 806, 806, 892, 938, 938, 882, 882, 882, 882, 882, 882, 882, 806, 806, 801, 857, 857, 857, 857, 801, 806, 852, 852, 852, 801, 892, 938, 938, 894, 894, 894, 882, 801, 938, 938]",KP11-no,101,122
9,36,"[100, 82, 82, 82, 82, 82, 2, 5, 6, 6, 1, 8, 3, 4, 0, 82, 82, 82, 82, 82, 82, 82, 82, 0, 0, 4, 4, 4, 3, 1, 1, 6, 50, 50, 2, 76, 75, 76, 77, 76, 76, 76, 76, 75, 279, 258, 258, 202, 205, 200, 206, 199, 258, 258, 286, 281, 281, 280, 281, 280, 281, 282, 282, 281, 287, 287, 287, 434, 412, 366, 360, 362, 359, 412, 359, 359, 363, 363, 412, 412, 434, 434, 593, 571, 515, 511, 513, 513, 507, 512, 509, 571, 593, 593, 592, 722, 675, 722, 677, 669, 671, 671, 671, 733, 748, 799, 748, 748, 733, 748, 799, 785, 672, 671, 722, 722, 674, 722, 748, 733, 748, 748, 748, 679, 722, 700, 753, 733, 753, 785, 722, 748, 748, 783, 748, 784, 743, 744, 744, 744, 748, 748, 785, 799, 748, 753, 748, 748, 748, 748, 722, 670, 670, 745, 745, 746, 745, 745, 785, 785, 785, 672, 669, 669, 669, 733, 748, 748, 748, 748, 748, 689, 671, 748, 748, 748, 748, 748, 799, 799, 799, 671, 722, 669, 753, 799, 671, 699, 722, 722, 722, 722, 722, 722, 722, 722, 713, 722, 673, 722, 694, 722, 722, 700, 722, 722, 692, 690, 698, 690, 700, 722, 692, 699, 700, 699, 733, 769, 769, 767, 722, 722, 722, 684, 669, 671, 722, 699, 699, 700, 690, 700, 700, 698, 722, 669, 715, 715, 722, 670, 688, 733, 753, 785, 785, 785, 748, 684, 684, 722, 688, 722, 700, 722, 688, 694, 682, 681, 682, 682, 722, 688, 699, 700, 690, 692, 692, 677, 687, 687, 722, 692, 748, 674, 722, 674, 722]",KP11-no,100,277
